The label,The ones who left,The ones who stayed,Difference
Account length,104.91891891891892,100.63414634146342,4.1
Area code,449.6216216216216,436.9784791965567,2.8
International plan,0.5405405405405406,0.07604017216642754,85.9
Voice mail plan,0.10810810810810811,0.29555236728837875,-173.4
Number vmail messages,3.7027027027027026,8.905308464849355,-140.5
Total day minutes,231.5,177.07761836441895,23.5
Total day calls,100.62162162162163,100.3170731707317,0.3
Total day charge,39.35594594594595,30.1038737446198,23.5
Total eve minutes,223.94324324324324,197.33371592539456,11.9
Total eve calls,100.16216216216216,100.42467718794835,-0.3
Total eve charge,19.035405405405406,16.773543758967,11.9
Total night minutes,215.5297297297297,204.02826398852224,5.3
Total night calls,102.64864864864865,100.56671449067431,2.0
Total night charge,9.698648648648648,9.181305595408896,5.3
Total intl minutes,11.908108108108108,9.942180774748925,16.5
Total intl calls,4.45945945945946,4.523672883787661,-1.4
Total intl charge,3.215675675675676,2.684949784791965,16.5
Customer service calls,3.081081081081081,1.4203730272596844,53.9
Churn Prediction,1.0,0.0,100.0
