Id,PetalLengthCm,PetalWidthCm,Species
1,1.4,0.2,Iris-setosa
2,1.4,0.2,Iris-setosa
3,1.3,0.2,Iris-setosa
4,1.5,0.2,Iris-setosa
5,1.4,0.2,Iris-setosa
6,1.7,0.4,Iris-setosa
7,1.4,0.3,Iris-setosa
8,1.5,0.2,Iris-setosa
9,1.4,0.2,Iris-setosa
10,1.5,0.1,Iris-setosa
11,1.5,0.2,Iris-setosa
12,1.6,0.2,Iris-setosa
13,1.4,0.1,Iris-setosa
14,1.1,0.1,Iris-setosa
15,1.2,0.2,Iris-setosa
16,1.5,0.4,Iris-setosa
17,1.3,0.4,Iris-setosa
18,1.4,0.3,Iris-setosa
19,1.7,0.3,Iris-setosa
20,1.5,0.3,Iris-setosa
21,1.7,0.2,Iris-setosa
22,1.5,0.4,Iris-setosa
23,1,0.2,Iris-setosa
24,1.7,0.5,Iris-setosa
25,1.9,0.2,Iris-setosa
26,1.6,0.2,Iris-setosa
27,1.6,0.4,Iris-setosa
28,1.5,0.2,Iris-setosa
29,1.4,0.2,Iris-setosa
30,1.6,0.2,Iris-setosa
31,1.6,0.2,Iris-setosa
32,1.5,0.4,Iris-setosa
33,1.5,0.1,Iris-setosa
34,1.4,0.2,Iris-setosa
35,1.5,0.1,Iris-setosa
36,1.2,0.2,Iris-setosa
37,1.3,0.2,Iris-setosa
38,1.5,0.1,Iris-setosa
39,1.3,0.2,Iris-setosa
40,1.5,0.2,Iris-setosa
41,1.3,0.3,Iris-setosa
42,1.3,0.3,Iris-setosa
43,1.3,0.2,Iris-setosa
44,1.6,0.6,Iris-setosa
45,1.9,0.4,Iris-setosa
46,1.4,0.3,Iris-setosa
47,1.6,0.2,Iris-setosa
48,1.4,0.2,Iris-setosa
49,1.5,0.2,Iris-setosa
50,1.4,0.2,Iris-setosa
51,4.7,1.4,Iris-versicolor
52,4.5,1.5,Iris-versicolor
53,4.9,1.5,Iris-versicolor
54,4,1.3,Iris-versicolor
55,4.6,1.5,Iris-versicolor
56,4.5,1.3,Iris-versicolor
57,4.7,1.6,Iris-versicolor
58,3.3,1,Iris-versicolor
59,4.6,1.3,Iris-versicolor
60,3.9,1.4,Iris-versicolor
61,3.5,1,Iris-versicolor
62,4.2,1.5,Iris-versicolor
63,4,1,Iris-versicolor
64,4.7,1.4,Iris-versicolor
65,3.6,1.3,Iris-versicolor
66,4.4,1.4,Iris-versicolor
67,4.5,1.5,Iris-versicolor
68,4.1,1,Iris-versicolor
69,4.5,1.5,Iris-versicolor
70,3.9,1.1,Iris-versicolor
71,4.8,1.8,Iris-versicolor
72,4,1.3,Iris-versicolor
73,4.9,1.5,Iris-versicolor
74,4.7,1.2,Iris-versicolor
75,4.3,1.3,Iris-versicolor
76,4.4,1.4,Iris-versicolor
77,4.8,1.4,Iris-versicolor
78,5,1.7,Iris-versicolor
79,4.5,1.5,Iris-versicolor
80,3.5,1,Iris-versicolor
81,3.8,1.1,Iris-versicolor
82,3.7,1,Iris-versicolor
83,3.9,1.2,Iris-versicolor
84,5.1,1.6,Iris-versicolor
85,4.5,1.5,Iris-versicolor
86,4.5,1.6,Iris-versicolor
87,4.7,1.5,Iris-versicolor
88,4.4,1.3,Iris-versicolor
89,4.1,1.3,Iris-versicolor
90,4,1.3,Iris-versicolor
91,4.4,1.2,Iris-versicolor
92,4.6,1.4,Iris-versicolor
93,4,1.2,Iris-versicolor
94,3.3,1,Iris-versicolor
95,4.2,1.3,Iris-versicolor
96,4.2,1.2,Iris-versicolor
97,4.2,1.3,Iris-versicolor
98,4.3,1.3,Iris-versicolor
99,3,1.1,Iris-versicolor
100,4.1,1.3,Iris-versicolor
